"NomClient","Adresse","SIRET","TVA_Intracommunautaire"
"Udemy Inc","600 Harrison Street 3rd Floor San Francisco, CA 94107 United States","",""
"Google Ireland Inc","4 Barrow Street, 99132 Dublin, Irlande","","IE6388047V"
